Year,Agency,Fishery Name,Species,Source,Stat Week,Stat Area,AStream / Watershed Code,Harvest,Sample Date,Gear,Survey Site,#Rcvd,#Preps,Not Marked,Marked,%Marked,PORTARMSTRONG11,PORTARMSTRONG12,PORTARMSTRONG13,PORTARMSTRONG15,PORTARMSTRONG15A,PORTARMSTRONG15B,PORTARMSTRONG18,PORTARMSTRONG19,PORTARMSTRONG22,SJ09PINK,SJ10PINK,SJ11PINK,SJ12PINK,SJ13PINK,SJ14PINK,SJ15PINK,SJ16PINK,SJ17PINK,SJ18PINK,SJ19PINK,SJ21PINK,SJ22PINK
2013,ADFG,,PINK,ESCAPEMENT SURVEY,35,11341,113-41-10190,,8/30/2013,NOT REQUIRED,SITKA,96,90,79,11,12,,,,,,,,,,,,11,,,,,,,,,,
2013,ADFG,,PINK,ESCAPEMENT SURVEY,35,11341,113-41-10190,,8/30/2013,NOT REQUIRED,SITKA,100,93,78,15,16,,,,,,,,,,,,15,,,,,,,,,,
2013,ADFG,,PINK,ESCAPEMENT SURVEY,37,11341,113-41-10190,,9/9/2013,NOT REQUIRED,SITKA,96,95,81,14,15,4,,,,,,,,,,,10,,,,,,,,,,
2013,ADFG,,PINK,ESCAPEMENT SURVEY,39,11341,113-41-10190,,9/27/2013,NOT REQUIRED,SITKA,100,99,92,7,7,3,,,,,,,,,,,4,,,,,,,,,,
2013,ADFG,,PINK,RACK RETURN,36,11341,,,9/2/2013,NOT REQUIRED,SHELDON JACKSON HATCHERY,96,94,72,22,23,3,,,,,,,,,,,19,,,,,,,,,,
2012,ADFG,,PINK,ESCAPEMENT SURVEY,39,11341,113-41-10190,,9/25/2012,NOT REQUIRED,SITKA,96,93,90,3,3,,,,,,,,,,,3,,,,,,,,,,,
2012,ADFG,,PINK,ESCAPEMENT SURVEY,40,11341,113-41-10190,,10/4/2012,NOT REQUIRED,SITKA,54,51,47,4,8,,,,,,,,,,,4,,,,,,,,,,,
2012,ADFG,,PINK,RACK RETURN,37,11336,,,9/15/2012,NOT REQUIRED,SHELDON JACKSON HATCHERY,96,94,77,17,18,,,,,,,,,,,17,,,,,,,,,,,
2011,ADFG,,PINK,ESCAPEMENT SURVEY,41,11341,113-41-10190,,10/5/2011,NOT REQUIRED,SITKA,96,81,79,2,2,,,,,,,,,,2,,,,,,,,,,,,
2011,ADFG,,PINK,RACK RETURN,38,11336,,,9/14/2011,NOT REQUIRED,SHELDON JACKSON HATCHERY,96,94,86,8,9,,,,,,,,,,8,,,,,,,,,,,,
