Year    Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec     Annual
1944	M	M	M	M	M	M	M	M	54.4	49.9	43.0	37.6	46.2
2002	37.5	34.6	32.6	39.0	46.3	52.5	54.3	56.4	52.8	49.1	47.4	39.6	45.2
2003	40.9	39.7	36.5	43.4	48.3	53.0	58.0	57.5	54.1	49.9	39.8	39.0	46.7
2004	34.0	40.6	38.5	44.2	49.4	56.0	58.4	61.6	53.0	45.7	40.7	37.4	46.6
2005	36.5	37.6	40.4	44.8	53.2	54.7	57.5	59.0	53.5	46.1	41.4	41.0	47.1
2006	36.3	35.2	34.5	40.2	46.7	52.4	56.2	54.9	53.0	46.4	30.7	39.3	43.8
2007	35.9	34.9	34.1	42.0	46.5	53.4	56.5	58.0	53.2	45.5	40.1	34.2	44.5
2008	33.0	34.9	36.9	40.1	45.7	49.4	53.8	55.0	51.8	44.2	39.0	31.9	43.0
2009	35.1	33.4	34.4	41.1	47.9	53.1	58.5	57.3	53.3	46.7	40.3	34.5	44.6
2010	40.8	41.4	39.2	42.7	49.0	52.5	54.9	57.4	55.1	46.2	40.3	36.7	46.4
2011	34.9	32.6	37.0	40.5	48.3	52.9	55.5	55.6	52.1	45.7	35.2	36.4	43.9
2012	31.7	37.6	34.8	43.1	44.7	50.5	53.5	55.5	52.0	43.2	40.2	35.0	43.5
2013	38.1	39.1	36.1	39.5	48.1	55.9	58.7	60.2	56.4	49.7	40.4	37.6	46.7
2014	42.0	31.9	37.4	42.9	51.4	52.9	57.3	58.0	54.6	46.3	39.0	39.8	46.1
2015	41.0	38.9	41.6	43.0	51.5	55.2	57.6	57.6	51.2	48.9	40.7	M	47.9
2016	42.5	42.8	44.8	46.8	51.3	55.2	59.6	58.9	54.8	47.5	43.4	34.8	48.5
2017	37.2	35.9	33.5	45.6	48.0	52.8	56.6	58.6	54.4	46.8	38.0	38.4	45.5
2018	39.1	34.3	37.9	43.2	46.8	53.2	58.2	58.4	55.1	50.6	44.8	40.2	46.8
2019	37.8	33.2	42.0	43.4	49.4	53.8	59.6	59.1	55.2	46.2	44.2	41.5	47.1
2020	31.0	36.6	36.2	41.8	51.1	52.2	57.7	56.6	54.1	45.2	38.4	41.9	45.2
2021	38.8	34.1	36.7	42.4	47.7	55.6	57.8	58.5	54.2	45.6	39.8	32.0	45.3
2022	35.8	39.9	40.7	42.7	48.2	56.2	57.5	59.2	55.9	50.7	39.9	34.6	46.8
2023	41.8	36.0	36.5	43.0	50.1	54.2	59.3	60.6	55.3	49.5	44.1	41.8	47.7
2024	37.9	38.1	40.0	44.4	47.9	54.9	57.8	58.7	54.7	47.0	39.7	42.5	47.0
