year,river,run,lat,long,z_score_lat,day_of_yr
1989,Litnik,odd,58.08005,152.8184972,-0.004556911,233.4014265
1989,Babine,odd,55.32963611,126.6314611,-1.227415371,241.4804675
1989,Auke Creek,odd,58.38052222,134.6422139,0.12903571,241.3653468
1989,Hugh Smith,odd,55.09679444,130.7146639,-1.330938846,239.011925
1990,Karluk,even,57.56256111,154.3904528,-0.23463707,227.1171336
1990,Buskin,even,57.77676111,152.5370806,-0.139401846,227.8071659
1990,Ayakulik,even,57.19558333,154.5353167,-0.397798652,220.7937146
1990,Litnik,even,58.08005,152.8184972,-0.004556911,229.3144503
1990,Goodnews River,even,59.16493333,161.4608611,0.477791862,198.2364012
1990,Chilkoot Lake,even,59.321025,135.5558722,0.547191604,243.6740987
1990,Babine,even,55.32963611,126.6314611,-1.227415371,235.1809206
1990,Auke Creek,even,58.38052222,134.6422139,0.12903571,236.1275299
1990,Hugh Smith,even,55.09679444,130.7146639,-1.330938846,244.013399
1991,Babine,odd,55.32963611,126.6314611,-1.227415371,238.4760572
1991,Tuluksak River weir,odd,61.04401667,160.58415,1.313249013,201
1991,Buskin,odd,57.77676111,152.5370806,-0.139401846,237.1729684
1991,Ayakulik,odd,57.19558333,154.5353167,-0.397798652,218.4221968
1991,Goodnews River,odd,59.16493333,161.4608611,0.477791862,194.9326357
1991,Hugh Smith,odd,55.09679444,130.7146639,-1.330938846,247.4072204
1991,Chilkoot Lake,odd,59.321025,135.5558722,0.547191604,224.5337146
1991,Litnik,odd,58.08005,152.8184972,-0.004556911,238.5684936
1991,Auke Creek,odd,58.38052222,134.6422139,0.12903571,235.5013138
1991,Karluk,odd,57.56256111,154.3904528,-0.23463707,231.6344463
1992,Hugh Smith,even,55.09679444,130.7146639,-1.330938846,244.312915
1992,Auke Creek,even,58.38052222,134.6422139,0.12903571,233.7758038
1992,Babine,even,55.32963611,126.6314611,-1.227415371,237.3950023
1992,Karluk,even,57.56256111,154.3904528,-0.23463707,232.9475506
1992,Tuluksak River weir,even,61.04401667,160.58415,1.313249013,219
1992,Buskin,even,57.77676111,152.5370806,-0.139401846,227.6580713
1992,Litnik,even,58.08005,152.8184972,-0.004556911,230.3803501
1992,Ayakulik,even,57.19558333,154.5353167,-0.397798652,222.8737401
1992,Nass Gitwinksihlkw,even,55.192297,129.221854,-1.288477561,227.8835293
1992,Kwethluk River,even,60.50156389,161.1190611,1.072069687,225
1992,Goodnews River,even,59.16493333,161.4608611,0.477791862,206.7345616
1992,Chilkoot Lake,even,59.321025,135.5558722,0.547191604,242.9760301
1993,Hugh Smith,odd,55.09679444,130.7146639,-1.330938846,254.5579144
1993,Babine,odd,55.32963611,126.6314611,-1.227415371,239.6918027
1993,Auke Creek,odd,58.38052222,134.6422139,0.12903571,240.9256947
1993,Chilkoot Lake,odd,59.321025,135.5558722,0.547191604,226.3209208
1993,Litnik,odd,58.08005,152.8184972,-0.004556911,237.1071335
1993,Buskin,odd,57.77676111,152.5370806,-0.139401846,235.073446
1993,Karluk,odd,57.56256111,154.3904528,-0.23463707,242.8421329
1993,Nass Gitwinksihlkw,odd,55.192297,129.221854,-1.288477561,214.5775401
1993,Goodnews River,odd,59.16493333,161.4608611,0.477791862,208.3942659
1993,Ayakulik,odd,57.19558333,154.5353167,-0.397798652,229.4692754
1993,Tuluksak River weir,odd,61.04401667,160.58415,1.313249013,216
1994,Hugh Smith,even,55.09679444,130.7146639,-1.330938846,243.4841424
1994,Litnik,even,58.08005,152.8184972,-0.004556911,236.8801062
1994,Babine,even,55.32963611,126.6314611,-1.227415371,237.7569838
1994,Karluk,even,57.56256111,154.3904528,-0.23463707,229.3074662
1994,Situk Lower,even,59.44026667,139.5619222,0.600207509,212.5705189
1994,Tuluksak River weir,even,61.04401667,160.58415,1.313249013,217
1994,Nass Gitwinksihlkw,even,55.192297,129.221854,-1.288477561,227.4111747
1994,Buskin,even,57.77676111,152.5370806,-0.139401846,230.9628207
1994,Goodnews River,even,59.16493333,161.4608611,0.477791862,206.7585311
1994,Chilkoot Lake,even,59.321025,135.5558722,0.547191604,248.3607533
1994,Auke Creek,even,58.38052222,134.6422139,0.12903571,239.1837835
1994,East Fork Andreafsky River,even,62.11745278,162.8026472,1.790508249,200.3622451
1994,Ayakulik,even,57.19558333,154.5353167,-0.397798652,219.9965935
1995,Goodnews River,odd,59.16493333,161.4608611,0.477791862,208.6604624
1995,Ayakulik,odd,57.19558333,154.5353167,-0.397798652,229.851255
1995,Buskin,odd,57.77676111,152.5370806,-0.139401846,231.1460588
1995,Karluk,odd,57.56256111,154.3904528,-0.23463707,235.0395867
1995,Hugh Smith,odd,55.09679444,130.7146639,-1.330938846,247.4976864
1995,Litnik,odd,58.08005,152.8184972,-0.004556911,243.904255
1995,Auke Creek,odd,58.38052222,134.6422139,0.12903571,241.199344
1995,East Fork Andreafsky River,odd,62.11745278,162.8026472,1.790508249,203.4386671
1995,Chilkoot Lake,odd,59.321025,135.5558722,0.547191604,230.5686098
1995,Sashin Creek,odd,56.37891667,134.6538361,-0.76089591,253.3145428
1995,Babine,odd,55.32963611,126.6314611,-1.227415371,250.8167822
1995,Nass Gitwinksihlkw,odd,55.192297,129.221854,-1.288477561,225.0545601
1995,Yukon River Pilot Station,odd,61.94334722,162.8684389,1.713099371,203.9072893
1996,Sashin Creek,even,56.37891667,134.6538361,-0.76089591,247.3394534
1996,East Fork Andreafsky River,even,62.11745278,162.8026472,1.790508249,198.5360166
1996,Ayakulik,even,57.19558333,154.5353167,-0.397798652,220.7071535
1996,Auke Creek,even,58.38052222,134.6422139,0.12903571,231.8752252
1996,Buskin,even,57.77676111,152.5370806,-0.139401846,231.8550169
1996,Litnik,even,58.08005,152.8184972,-0.004556911,233.2788409
1996,Chilkoot Lake,even,59.321025,135.5558722,0.547191604,224.7422501
1996,Hugh Smith,even,55.09679444,130.7146639,-1.330938846,243.2780464
1996,Babine,even,55.32963611,126.6314611,-1.227415371,240.7125001
1996,Nass Gitwinksihlkw,even,55.192297,129.221854,-1.288477561,234.5941625
1996,Karluk,even,57.56256111,154.3904528,-0.23463707,231.1725078
1996,North River,even,63.53168,160.3948398,2.419286241,191.7593927
1996,Goodnews River,even,59.16493333,161.4608611,0.477791862,210.9479234
1996,Deshka,even,61.70486389,150.3226389,1.607067562,207.2702075
1996,George River,even,61.92531111,157.7014667,1.705080356,204.1416797
1997,Ayakulik,odd,57.19558333,154.5353167,-0.397798652,227.0222589
1997,Goodnews River,odd,59.16493333,161.4608611,0.477791862,237.8569473
1997,East Fork Andreafsky River,odd,62.11745278,162.8026472,1.790508249,225.1037752
1997,Litnik,odd,58.08005,152.8184972,-0.004556911,244.9028979
1997,Hugh Smith,odd,55.09679444,130.7146639,-1.330938846,239.4090619
1997,Karluk,odd,57.56256111,154.3904528,-0.23463707,241.8728874
1997,Kanektok River,odd,59.7702,161.0668333,0.746898801,202.3872709
1997,Chilkoot Lake,odd,59.321025,135.5558722,0.547191604,229.2902432
1997,Fish Creek,odd,61.44815556,149.8255861,1.492932755,214.3126329
1997,Sashin Creek,odd,56.37891667,134.6538361,-0.76089591,249.1359276
1997,North River,odd,63.53168,160.3948398,2.419286241,203.8977617
1997,Nass Gitwinksihlkw,odd,55.192297,129.221854,-1.288477561,227.5363718
1997,Buskin,odd,57.77676111,152.5370806,-0.139401846,234.295558
1997,Situk Lower,odd,59.44026667,139.5619222,0.600207509,214.2934339
1997,Auke Creek,odd,58.38052222,134.6422139,0.12903571,235.8664813
1997,Deshka,odd,61.70486389,150.3226389,1.607067562,224.1132003
1997,Babine,odd,55.32963611,126.6314611,-1.227415371,238.2135876
1998,Ayakulik,even,57.19558333,154.5353167,-0.397798652,218.8567637
1998,Buskin,even,57.77676111,152.5370806,-0.139401846,234.6221765
1998,Sashin Creek,even,56.37891667,134.6538361,-0.76089591,246.0570608
1998,Karluk,even,57.56256111,154.3904528,-0.23463707,228.7895807
1998,Yukon River Pilot Station,even,61.94334722,162.8684389,1.713099371,198.3090431
1998,Nass Gitwinksihlkw,even,55.192297,129.221854,-1.288477561,222.1295043
1998,Goodnews River,even,59.16493333,161.4608611,0.477791862,214.2345809
1998,Babine,even,55.32963611,126.6314611,-1.227415371,240.9387235
1998,Litnik,even,58.08005,152.8184972,-0.004556911,230.613223
1998,East Fork Andreafsky River,even,62.11745278,162.8026472,1.790508249,197.578722
1998,Deshka,even,61.70486389,150.3226389,1.607067562,209.3901128
1998,North River,even,63.53168,160.3948398,2.419286241,193.244751
1998,Auke Creek,even,58.38052222,134.6422139,0.12903571,236.6907372
1998,Chilkoot Lake,even,59.321025,135.5558722,0.547191604,229.6637414
1998,Fish Creek,even,61.44815556,149.8255861,1.492932755,220.1029268
1999,Buskin,odd,57.77676111,152.5370806,-0.139401846,237.116055
1999,Deshka,odd,61.70486389,150.3226389,1.607067562,219.243513
1999,Karluk,odd,57.56256111,154.3904528,-0.23463707,247.8286592
1999,Nass Gitwinksihlkw,odd,55.192297,129.221854,-1.288477561,230.3361826
1999,Yukon River Pilot Station,odd,61.94334722,162.8684389,1.713099371,208.0493937
1999,North River,odd,63.53168,160.3948398,2.419286241,201.3925314
1999,Auke Creek,odd,58.38052222,134.6422139,0.12903571,243.6924074
1999,Babine,odd,55.32963611,126.6314611,-1.227415371,246.2084452
1999,East Fork Andreafsky River,odd,62.11745278,162.8026472,1.790508249,209.9950079
1999,Hugh Smith,odd,55.09679444,130.7146639,-1.330938846,245.0916366
1999,George River,odd,61.92531111,157.7014667,1.705080356,222.4123646
1999,Litnik,odd,58.08005,152.8184972,-0.004556911,245.1277226
1999,Ayakulik,odd,57.19558333,154.5353167,-0.397798652,220.5151508
1999,Sashin Creek,odd,56.37891667,134.6538361,-0.76089591,255.0562422
2000,Deshka,even,61.70486389,150.3226389,1.607067562,212.9440998
2000,Nass Gitwinksihlkw,even,55.192297,129.221854,-1.288477561,224.6711426
2000,Karluk,even,57.56256111,154.3904528,-0.23463707,230.7040148
2000,Yukon River Pilot Station,even,61.94334722,162.8684389,1.713099371,196.6577756
2000,Babine,even,55.32963611,126.6314611,-1.227415371,239.7951842
2000,Buskin,even,57.77676111,152.5370806,-0.139401846,240.855718
2000,Kwethluk River,even,60.50156389,161.1190611,1.072069687,216
2000,Hugh Smith,even,55.09679444,130.7146639,-1.330938846,239.5007457
2000,Litnik,even,58.08005,152.8184972,-0.004556911,241.8587627
2000,East Fork Andreafsky River,even,62.11745278,162.8026472,1.790508249,197.2638153
2000,Auke Creek,even,58.38052222,134.6422139,0.12903571,236.3927821
2000,Chilkoot Lake,even,59.321025,135.5558722,0.547191604,241.6646781
2000,Ayakulik,even,57.19558333,154.5353167,-0.397798652,223.8662309
2000,North River,even,63.53168,160.3948398,2.419286241,188.234107
2000,Sashin Creek,even,56.37891667,134.6538361,-0.76089591,245.0233067
2000,George River,even,61.92531111,157.7014667,1.705080356,201.9928918
2000,Fish Creek,even,61.44815556,149.8255861,1.492932755,221.721665
2001,Yukon River Pilot Station,odd,61.94334722,162.8684389,1.713099371,205.9246377
2001,East Fork Andreafsky River,odd,62.11745278,162.8026472,1.790508249,237.49295
2001,North River,odd,63.53168,160.3948398,2.419286241,209.5377069
2001,Situk Lower,odd,59.44026667,139.5619222,0.600207509,211.5600332
2001,Babine,odd,55.32963611,126.6314611,-1.227415371,245.3544752
2001,George River,odd,61.92531111,157.7014667,1.705080356,207.6471458
2001,Nass Gitwinksihlkw,odd,55.192297,129.221854,-1.288477561,229.0319612
2001,Ayakulik,odd,57.19558333,154.5353167,-0.397798652,218.1538264
2001,Chilkoot Lake,odd,59.321025,135.5558722,0.547191604,232.2208413
2001,Tuluksak River weir,odd,61.04401667,160.58415,1.313249013,218
2001,Karluk,odd,57.56256111,154.3904528,-0.23463707,236.890041
2001,Hugh Smith,odd,55.09679444,130.7146639,-1.330938846,248.2910964
2001,Auke Creek,odd,58.38052222,134.6422139,0.12903571,240.0404747
2001,Buskin,odd,57.77676111,152.5370806,-0.139401846,237.4837197
2001,Deshka,odd,61.70486389,150.3226389,1.607067562,208.2053393
2001,Fish Creek,odd,61.44815556,149.8255861,1.492932755,224.4778394
2001,Sashin Creek,odd,56.37891667,134.6538361,-0.76089591,239.9587085
2001,Litnik,odd,58.08005,152.8184972,-0.004556911,235.7291683
2002,Karluk,even,57.56256111,154.3904528,-0.23463707,224.7613056
2002,George River,even,61.92531111,157.7014667,1.705080356,193.4811142
2002,Auke Creek,even,58.38052222,134.6422139,0.12903571,231.6865974
2002,Kwethluk River,even,60.50156389,161.1190611,1.072069687,206
2002,Yukon River Pilot Station,even,61.94334722,162.8684389,1.713099371,188.6324631
2002,Situk Lower,even,59.44026667,139.5619222,0.600207509,214.0161008
2002,Deshka,even,61.70486389,150.3226389,1.607067562,208.6381745
2002,Kanektok River,even,59.7702,161.0668333,0.746898801,209.6100541
2002,East Fork Andreafsky River,even,62.11745278,162.8026472,1.790508249,191.0868624
2002,Buskin,even,57.77676111,152.5370806,-0.139401846,236.727918
2002,Tuluksak River weir,even,61.04401667,160.58415,1.313249013,195
2002,Ayakulik,even,57.19558333,154.5353167,-0.397798652,221.7080143
2002,Hugh Smith,even,55.09679444,130.7146639,-1.330938846,240.463125
2002,Litnik,even,58.08005,152.8184972,-0.004556911,230.9458644
2002,Nass Gitwinksihlkw,even,55.192297,129.221854,-1.288477561,229.3220025
2002,Babine,even,55.32963611,126.6314611,-1.227415371,241.4221369
2002,Chilkoot Lake,even,59.321025,135.5558722,0.547191604,231.6493365
2002,North River,even,63.53168,160.3948398,2.419286241,184.0242779
2002,Sashin Creek,even,56.37891667,134.6538361,-0.76089591,246.8640416
2003,Litnik,odd,58.08005,152.8184972,-0.004556911,232.8019402
2003,Babine,odd,55.32963611,126.6314611,-1.227415371,234.4850438
2003,Chilkoot Lake,odd,59.321025,135.5558722,0.547191604,226.6689781
2003,East Fork Andreafsky River,odd,62.11745278,162.8026472,1.790508249,201.4710599
2003,Yukon River Pilot Station,odd,61.94334722,162.8684389,1.713099371,197.1760492
2003,Hugh Smith,odd,55.09679444,130.7146639,-1.330938846,241.366301
2003,Kwethluk River,odd,60.50156389,161.1190611,1.072069687,213
2003,Auke Creek,odd,58.38052222,134.6422139,0.12903571,238.27871
2003,Deshka,odd,61.70486389,150.3226389,1.607067562,213.3812566
2003,Karluk,odd,57.56256111,154.3904528,-0.23463707,227.3125394
2003,Ayakulik,odd,57.19558333,154.5353167,-0.397798652,209.5469637
2003,Tuluksak River weir,odd,61.04401667,160.58415,1.313249013,209
2003,Buskin,odd,57.77676111,152.5370806,-0.139401846,236.6383827
2003,North River,odd,63.53168,160.3948398,2.419286241,200.7314343
2003,Kanektok River,odd,59.7702,161.0668333,0.746898801,196.368653
2003,Situk Lower,odd,59.44026667,139.5619222,0.600207509,215.6530532
2003,Nass Gitwinksihlkw,odd,55.192297,129.221854,-1.288477561,211.9914971
2004,North River,even,63.53168,160.3948398,2.419286241,191.0521216
2004,Chilkoot Lake,even,59.321025,135.5558722,0.547191604,226.1475077
2004,Ayakulik,even,57.19558333,154.5353167,-0.397798652,221.4336951
2004,Kanektok River,even,59.7702,161.0668333,0.746898801,215.4959063
2004,Babine,even,55.32963611,126.6314611,-1.227415371,233.3499678
2004,Kwethluk River,even,60.50156389,161.1190611,1.072069687,218
2004,Deshka,even,61.70486389,150.3226389,1.607067562,211.025475
2004,Yukon River Pilot Station,even,61.94334722,162.8684389,1.713099371,197.0781772
